id,target
nc3dea071da1944b,0
n22d95133dce7449,1
ndb9c52980cd9476,1
na13ca2a8d090425,1
nb9b008749ee643a,1
nf6e44d31525442a,0
n782a631bf6314ac,0
n49687b8492a746b,1
n5fbc721bc1274e6,1
n1ef68557ba1648a,1
na417efc34b354ad,1
ne240ce938a314c3,0
n22061ff63b1b4cb,0
n361b969803ae401,1
naac5a00cebe7469,0
n89dd734fe363475,0
n57500158dbaf41c,1
n9eb22984e38143a,0
n5aebce8ad592494,1
nda4b625688384bb,1
n7ed74beb3ffb463,0
ne0ea7419542b412,1
n07d599d87587425,0
n93412f99cc154af,0
n42996edf56e646b,0
ndccc49bc6044454,0
n94878be0171747e,1
n9e352b29f90147c,1
nae0f0abb5cb9413,1
n8ea345585ac94e1,0
nf58d59ee8bf54c8,1
nb510026a066a443,1
n15e6183dd53640f,1
n57590abc04af47c,0
n463cde8d2bb44bb,0
n684877ba453a455,1
n1508a00083e84c2,1
n96262165718649f,0
nf046215831764d4,0
nc170af475b98444,1
ndb4505c0e916485,0
n24c6e40ba86d4df,1
nd4a54b6649334ec,1
n6628740660fe4e0,0
n7628670b01b2413,0
n2b5c309e372f4e6,0
n018453b9b913422,1
ncccaf7506b6641e,0
n075b88d2b15d408,1
n9892aa6382cd4f4,1
n0c3dc45916884f9,1
na3e849d67ce74a3,1
na7353baff91f4ba,1
n5c2f68fc0dd2483,0
nb74808d291294e5,0
n87dec3fd49f343d,0
n2d7ca9aa48374c2,1
ne00fc86b28ef4a1,1
n5b46ebdc199e448,0
n54ffb937b1404a6,0
n3b92e643729f4e9,1
n7e231b4450554cd,1
nbab42580fd0a41e,1
n919c128db5544b5,0
nb391b67d69cb478,1
n58b4ad2499c84e9,0
n6efcfcf1416c45e,1
n24c1ae5f85ee4ef,0
n69fd39044f1e448,0
n4c173326ac554a8,0
nd4f079ef7b974bd,1
nf9bc4358cb0c492,0
n68d850eeb2b8407,1
n7f9410bbd5184e2,1
n0113ddace8684c2,1
n7e2137fda40f472,0
n09003844f556424,1
nf890d49b2d924e5,1
n0629d42b3b624ab,1
nb69ec2ba944a4a6,1
n95e2a36fa41a4d1,0
n549c5716503d498,1
n81fff48ffe2641b,1
nf145a33e64024c0,0
nd083addda6fc416,1
nad030afe733f434,0
n7a18272f1b7244f,1
n39e9bcdcebc34d7,1
ne6a9bad8bd924e0,0
n0f66522b9a9847d,1
n4f687c93349b4c6,1
n1017655e9f1c44c,0
n9cec6605fa1444d,0
n343410dab87b496,1
n33e1d8c90bec4c7,1
n584896195449420,0
ncc735ee405a54d3,1
n564020544f2a48b,1
n4eda70a61bc74c7,0
n7c0f3d5ca96f42e,1
n7774ef7844344b6,0
nda681f136a194d3,1
ndc32cee91ed04ae,0
nc30e3a177f99431,0
n5238263341dd4c9,0
n897467659590466,1
n592f2d5fbc894c7,1
nac453880ccdf4d5,1
n5a2f9908ad774bc,1
n5c105809f15a43a,0
n76fa75b5e92e46f,0
ne64238587e7d4ab,0
nb257c2ec942b4d9,0
n9f231fff184b438,1
nd661e11ae9ed483,0
n404e5fce1298466,1
nc03c6e931431418,0
n864eab6850374aa,0
ne163129dda7842e,1
n2c7dff4ca4f84b9,1
nc6f5ffab90794ec,0
n785c10ac44af426,0
n6248ac67897a431,0
n99f1b746512f402,1
nbb9c4cc55d0249e,0
naced9e4aec2a489,0
nd54107afb357482,0
n25e56d814717485,1
nfc0d79e188cb4cc,1
